,train_mse,val_mse,val_rmse
0,0.6750486650370623,0.4967387318611145,0.704796943708693
1,0.4439896620516685,0.3663609027862549,0.6052775419477042
2,0.3674489932317954,0.31570231914520264,0.5618739352783706
3,0.30766564748773184,0.2756935954093933,0.5250653248971915
4,0.28264522446842016,0.2696416974067688,0.519270350979881
5,0.2737124560964535,0.2483091652393341,0.49830629660815456
6,0.260327081217524,0.24448049068450928,0.49444968468440675
7,0.24922862065733822,0.24061386287212372,0.4905240696154713
8,0.2433829247631099,0.2419803887605667,0.49191502188951974
9,0.24078104939984493,0.24079084396362305,0.4907044364621366
10,0.2360406661040558,0.23510530591011047,0.48487658832955677
11,0.23214870492126574,0.23464763164520264,0.48440440919256983
12,0.23112605279846002,0.24302974343299866,0.4929804696263318
13,0.22777213039100994,0.2521304786205292,0.5021259589192031
14,0.22355502797094487,0.25767654180526733,0.5076185002590698
15,0.21937436602774807,0.2595452070236206,0.5094557949651968
16,0.21641018715220692,0.2585538327693939,0.508481890306227
17,0.21299784490141813,0.2600419819355011,0.5099431163723078
18,0.21024143079261387,0.2602936029434204,0.5101897715001943
19,0.20679968374682672,0.258190393447876,0.5081243877712188
20,0.2035572400632404,0.2563706338405609,0.5063305578775202
21,0.20023191938579699,0.248853862285614,0.49885254563409215
22,0.1955295523143379,0.24661022424697876,0.49659865509984896
23,0.19167052950863225,0.24275030195713043,0.4926969676760051
24,0.18835516312727485,0.23945331573486328,0.4893396731666699
25,0.18673366265346816,0.233244851231575,0.48295429517872085
26,0.1845495826834668,0.24182166159152985,0.49175365945921523
27,0.18465707625706113,0.23880650103092194,0.4886783206066358
28,0.18348975733981202,0.24121861159801483,0.491140114018408
29,0.18046040601133173,0.23808062076568604,0.4879350579387446
30,0.18040366993642523,0.24718515574932098,0.4971771874787911
31,0.18159315732395548,0.23739378154277802,0.4872307272153287
32,0.17766588394610355,0.23284365236759186,0.48253875737353147
33,0.17553905748479262,0.22995778918266296,0.47953914249273016
34,0.17546221611502558,0.23018449544906616,0.4797754635754794
35,0.17361556336697184,0.2353079915046692,0.48508555070695436
36,0.1709892072230599,0.22741436958312988,0.4768798271924803
37,0.17196550111247239,0.23674573004245758,0.48656523719071587
38,0.17100638701059123,0.22395755350589752,0.47324153822957843
39,0.1681018734387875,0.22417372465133667,0.4734698772375458
40,0.16657694677367524,0.21537527441978455,0.46408541715915247
41,0.1654912156757705,0.2181731015443802,0.4670900358007867
42,0.16312148926104983,0.21288040280342102,0.4613896431471138
43,0.1633434231139608,0.2208913266658783,0.46999077295823405
44,0.16375936982366004,0.2365865260362625,0.48640160982079667
45,0.1653409242071455,0.2235444188117981,0.47280484220426305
46,0.1625174945126989,0.214765727519989,0.46342823340835526
47,0.1590321705072196,0.21177847683429718,0.460193955669017
48,0.15946173053286233,0.21279729902744293,0.4612995762272527
49,0.1575914274272783,0.21157273650169373,0.4599703648080969
50,0.15739024177758687,0.21108385920524597,0.45943863486351033
51,0.15819189186041116,0.2146374136209488,0.46328977284303263
52,0.1565586013228814,0.2121037095785141,0.4605471849642706
53,0.15590524842975342,0.20690296590328217,0.454865876828854
54,0.15572460082343512,0.21181514859199524,0.4602337977506598
55,0.1545892987277434,0.20976309478282928,0.45799901177058155
