,train_mse,val_mse,val_rmse
6,0.27284516372705603,0.2530794143676758,0.5030699895319495
7,0.2569474532526973,0.24734991788864136,0.4973428574822819
8,0.25083684409044,0.25465232133865356,0.5046308763231334
9,0.24593633105895832,0.2692609131336212,0.5189035682413653
10,0.23952252204449703,0.28300756216049194,0.5319845506783932
11,0.23182153332013472,0.25525134801864624,0.5052240572445519
12,0.22822766141733528,0.26831328868865967,0.5179896607932051
13,0.2239316650363884,0.2697756886482239,0.5193993537233406
14,0.22150852111091487,0.2761496901512146,0.5254994673177268
15,0.216199225596039,0.251252681016922,0.5012511157263613
16,0.21055566024489308,0.2525636553764343,0.5025571165314787
17,0.20642969574274303,0.24111779034137726,0.4910374632768637
18,0.2010802679823596,0.23760761320590973,0.48745011355615636
19,0.19662721148760673,0.24547512829303741,0.4954544664174877
20,0.20236230818369388,0.2326662689447403,0.4823549201000652
21,0.1981209475305145,0.23556049168109894,0.4853457444761404
22,0.19845320448251236,0.23640188574790955,0.48621177047446057
23,0.19115123186938623,0.23461343348026276,0.4843691087179928
24,0.1907392634471523,0.23624472320079803,0.4860501241649857
25,0.18603180601086602,0.22193656861782074,0.47110144196109266
26,0.18114819474974014,0.22235265374183655,0.4715428440150869
27,0.1810185324265897,0.22284142673015594,0.47206082948085826
28,0.1788322986228754,0.2186468541622162,0.46759689280641736
29,0.17540362331819762,0.21768534183502197,0.4665676176450976
30,0.17485486062983172,0.21560584008693695,0.4643337593659726
31,0.1770309912817225,0.21701550483703613,0.465849229726782
32,0.1725167434835233,0.20946051180362701,0.45766856108282883
33,0.16807545534698107,0.2207423597574234,0.469832267684355
34,0.16769906832358528,0.216333270072937,0.465116404863274
35,0.16702275649070325,0.20179736614227295,0.4492186173148581
36,0.1655350482370312,0.20341652631759644,0.4510172128839391
37,0.16313988491449005,0.19883377850055695,0.44590781390390205
38,0.1614147629283047,0.19539067149162292,0.4420301703409202
39,0.1591716011704426,0.19101478159427643,0.43705237854778506
40,0.1580425361124007,0.19000235199928284,0.4358925922739257
41,0.15847926222401684,0.19349949061870575,0.43988576996614215
42,0.15925993327309568,0.1957411766052246,0.4424264646302531
43,0.16577579490661828,0.1948939859867096,0.441467989764501
44,0.1583769105447338,0.19128815829753876,0.43736501723107524
45,0.15452729629929912,0.19252026081085205,0.4387713080989367
46,0.1528775824717479,0.19087454676628113,0.43689191657237275
47,0.15144579309104714,0.18740658462047577,0.43290482166461924
48,0.15009867145011335,0.1920022815465927,0.4381806494433463
49,0.15431887211666956,0.19656245410442352,0.443353644514651
50,0.14532767118027992,0.18932081758975983,0.43511012122192677
51,0.14358800541829805,0.18777011334896088,0.4333244896713788
52,0.142494645765852,0.18257427215576172,0.427287107406439
53,0.1427540438679715,0.18779589235782623,0.4333542342677942
54,0.14052731854337497,0.18006882071495056,0.4243451669513282
55,0.1415054937330734,0.18175016343593597,0.42632166662736715
56,0.13687323170849253,0.18556007742881775,0.43076684810790367
57,0.13441848420402294,0.182364359498024,0.427041402557204
58,0.132474423487502,0.1835136115550995,0.42838488716935325
59,0.1319761608127728,0.18289601802825928,0.42766344013518304
60,0.1322627104109809,0.18275576829910278,0.42749943660676654
61,0.12940941304596257,0.18478503823280334,0.4298663027416819
62,0.1326356074148601,0.1759852170944214,0.4195059202137931
63,0.13067993418423568,0.18426278233528137,0.42925840974322377
64,0.12746377664909242,0.17920850217342377,0.4233302518996531
65,0.12497123274868283,0.1901906132698059,0.43610848795890905
66,0.12282932632306834,0.17824804782867432,0.4221943247234315
67,0.12252176479078838,0.18119102716445923,0.4256653934306373
68,0.1233581367159728,0.17874236404895782,0.42277933257073697
69,0.13609688056947603,0.19757185876369476,0.4444905609388064
70,0.13824689183040498,0.17350265383720398,0.4165364976051966
71,0.1254802113565338,0.17800046503543854,0.4219010133140694
72,0.12166460433637405,0.1746518909931183,0.4179137363058533
73,0.11970190540200729,0.17299477756023407,0.4159264088276123
74,0.11856737213522374,0.17643633484840393,0.4200432535446843
75,0.11808186409025886,0.17456050217151642,0.41780438266193
76,0.11240809344996829,0.17587481439113617,0.4193743129843984
77,0.11479431350061788,0.1711113154888153,0.4136560352379925
78,0.11097515675129802,0.17176076769828796,0.4144403065560684
79,0.11438575096468445,0.18297843635082245,0.427759788141455
80,0.11286810724697677,0.1666574627161026,0.4082370178169817
81,0.10983058423903659,0.1764948070049286,0.42011285032111145
82,0.10782090480870049,0.176645427942276,0.4202920745651481
83,0.10489927639920368,0.18108922243118286,0.4255457935771224
84,0.1034830272431535,0.18565556406974792,0.43087766717451015
85,0.10539738709096487,0.18109332025051117,0.42555060833056174
86,0.10276914649572239,0.17835094034671783,0.42231616159782215
87,0.09871116652056416,0.18310807645320892,0.4279112950755202
88,0.102877840570771,0.18470560014247894,0.42977389420773215
89,0.09820186890814343,0.18948322534561157,0.43529670955063693
90,0.0979598081447038,0.17899230122566223,0.4230748175271866
91,0.10175929516315738,0.1840025782585144,0.4289552170780936
92,0.09793922256829346,0.1825704723596573,0.4272826609630413
93,0.094329610748397,0.1887572556734085,0.43446203018607793
94,0.0998426428129381,0.18248511850833893,0.42718276944223643
95,0.09719110752877914,0.18126946687698364,0.4257575212218613
96,0.0964758774663722,0.17964276671409607,0.4238428561555522
97,0.0934423329537299,0.18077941238880157,0.4251816228258244
98,0.0922965385181066,0.19347579777240753,0.4398588384611676
99,0.09319698450442544,0.18242289125919342,0.42710992877617987
100,0.09105594920679942,0.18722917139530182,0.43269986294809687
101,0.0897368189198029,0.19034326076507568,0.43628346377679234
102,0.09186437252011044,0.18463842570781708,0.4296957361992519
103,0.0892361185045137,0.19139665365219116,0.43748903260789423
104,0.09895931319383,0.18124648928642273,0.4257305360041992
105,0.09368047879806667,0.18428397178649902,0.42928309049681773
