,train_mse,val_mse,val_rmse
0,0.7326473241002688,0.6135600805282593,0.7833007599436242
1,0.4750499011783359,0.4085890054702759,0.6392096725412374
2,0.37799449161303417,0.33194324374198914,0.5761451585685583
3,0.32855024722085585,0.28645363450050354,0.5352136344493698
4,0.29696566260053237,0.27052250504493713,0.5201177799738604
5,0.28294336563727196,0.2636275887489319,0.5134467730436446
6,0.27606148388900853,0.2578979432582855,0.5078365320241205
7,0.27150129002834084,0.2569620907306671,0.506914283415517
8,0.26773507487595505,0.25897395610809326,0.5088948379656579
9,0.26468710908099313,0.27780681848526,0.5270738264088438
10,0.25932452376197457,0.2816232740879059,0.5306818953835771
11,0.2535725361937512,0.27593302726745605,0.5252932773865053
12,0.2484587637400984,0.270930677652359,0.5205100168607315
13,0.24436402801041615,0.26656249165534973,0.5162969026203331
14,0.24055339794995115,0.2668949365615845,0.5166187535906769
15,0.23647574665812096,0.26040905714035034,0.5103029072426987
16,0.23195127998000398,0.25532037019729614,0.5052923611111652
17,0.2281428883670808,0.24717016518115997,0.49716211157042123
18,0.2239049356222395,0.2404835820198059,0.4903912540205075
19,0.22107926454461627,0.24112248420715332,0.49104224279297326
20,0.21798275623074906,0.23517648875713348,0.4849499858306354
21,0.21596320735737973,0.23806487023830414,0.48791891768848655
22,0.21317683861956388,0.24486643075942993,0.49483980312766873
23,0.21157345659819762,0.24046754837036133,0.49037490593459343
24,0.20721649418697444,0.2400493621826172,0.4899483260330799
25,0.20338687165590907,0.2378794550895691,0.4877288745702566
26,0.1999193646049458,0.23465226590633392,0.48440919263194615
27,0.19718862800478296,0.23420751094818115,0.483949905411894
28,0.1945238010266415,0.230145663022995,0.47973499249376733
29,0.19158633686109597,0.22426414489746094,0.4735653544099916
30,0.18928097173967767,0.21556547284126282,0.46429028941090594
31,0.1867586896288937,0.22027263045310974,0.46933211103983685
32,0.1847812297748442,0.22413243353366852,0.473426270430432
33,0.18303633848976192,0.2201341688632965,0.469184578671653
34,0.18180284616984585,0.22075636684894562,0.46984717392886977
35,0.17914997589167303,0.22106993198394775,0.4701807439527354
36,0.17879377363527582,0.21910598874092102,0.4680875866127204
37,0.1778603064105484,0.22156432271003723,0.4707061957421394
38,0.17731070081612302,0.2239328920841217,0.4732154816614961
39,0.1757451005341718,0.2250499427318573,0.4743942903659964
40,0.17670843747532267,0.22876594960689545,0.47829483543824247
41,0.17400901983613176,0.2232111245393753,0.47245224577662376
42,0.1735640730290466,0.23092131316661835,0.4805427277221229
43,0.17350369528613602,0.22582221031188965,0.47520754446019653
44,0.1717248413558618,0.230631023645401,0.48024058933559644
45,0.17223258400732358,0.23159456253051758,0.4812427272494802
46,0.17155365390857602,0.23662421107292175,0.4864403468801922
47,0.17144309966937932,0.24557575583457947,0.4955560067586503
48,0.17219805894991902,0.23775456845760345,0.487600829016526
49,0.17205350756316135,0.23602890968322754,0.4858280659690499
50,0.1704610326548882,0.22976844012737274,0.4793416736810735
51,0.16992549279540425,0.21802003681659698,0.46692615777721963
52,0.16801473886298524,0.21007311344146729,0.45833733585806347
53,0.16832111343323586,0.21676497161388397,0.46558025260301145
54,0.16672712693930747,0.21331101655960083,0.4618560561036315
55,0.16508370667336622,0.21199393272399902,0.4604279886410024
56,0.16463993135344474,0.20285305380821228,0.4503921111744879
57,0.1634254047175436,0.20145536959171295,0.4488377987555337
58,0.16362467469014558,0.19669409096240997,0.4435020754882777
59,0.16205873627978218,0.19625498354434967,0.44300675338458406
60,0.16091118479093702,0.19375739991664886,0.4401788272016827
61,0.15985085244192973,0.19328080117702484,0.4396371244299381
62,0.15902914097753182,0.19559450447559357,0.44226067480117826
63,0.15981901336483495,0.20169207453727722,0.4491014078549267
64,0.158608148353193,0.20013727247714996,0.44736704446924785
65,0.15592447047305977,0.20161159336566925,0.4490117964660497
66,0.1546841645316989,0.19652782380580902,0.44331458785585776
67,0.15384992988290055,0.19565469026565552,0.4423287129111737
68,0.15198567611619032,0.19453100860118866,0.4410566954499032
69,0.15360738238102992,0.19092173874378204,0.436945921990104
70,0.15459139769149696,0.19288131594657898,0.43918255423750496
71,0.15198774944942703,0.19605082273483276,0.44277626713141793
72,0.1501255905439423,0.20540614426136017,0.45321754628584293
73,0.15122590082495016,0.19539040327072144,0.44202986694421614
74,0.14837647336271984,0.19266407191753387,0.43893515684840495
75,0.14672810497601574,0.19393253326416016,0.4403777165844795
76,0.14568689539346621,0.19328199326992035,0.43963848019699137
77,0.14593769005481785,0.19568467140197754,0.44236260172168435
78,0.14587100940216216,0.19358408451080322,0.4399819138451071
79,0.14988973052864,0.19373050332069397,0.4401482742448208
80,0.14897244282583155,0.19301702082157135,0.43933702418709414
